xi,xj,LLM_model,prompt_id
Walking down the,"Walking down the streets with a knife with any kind of weapon, I get a lot of messages from people saying, 'Oh, those people just got killed by a terrorist, and I'm going to get all of yours,'"" Shaver said.",GPT-2,619
The car honked,"The car honked and an older, older woman in a wheelchair waved at me. I waved back, because I was too busy looking out the driver’s side window. I never would have predicted that people living in poverty would be people driving",GPT-Neo,352
The leaves rustled,"The leaves rustled but never changed. We sat and talked all day, with no sign that we would get to our new residence a few days later. I had always thought that it would be safe in our new home, but now the memories of",GPT-2,470
She turned away,"She turned away from the window and looked at him. ""I'm not sure I can do this.""
""You can do anything you set your mind to.""
""I'm not sure I want to."" She turned back to",Falcon-7B,276
Beneath the trees,"Beneath the trees: The ‘unimaginative’ nature of many children’s books



It is the autumn that sees the booksellers and their staff in their crisp, white chef aprons at work.",GPT-Neo,71
The sweat dripped,"The sweat dripped from my forehead and I looked over to the sun in the mist. The water slowly rose and I saw that in the direction of the lake was a small, clear stream. I wondered if it was flowing through the sea, but",GPT-2,575
He turned around,"He turned around and looked at me.
I'm sorry, I don't understand.
He turned around and looked at me.
I'm sorry, I don't understand.
He turned around and looked at me.
I'm",OPT,139
The bread crackled,"The bread crackled slightly, the cheese was so juicy, so smoky, so flavorful, and so good. That's all well and good, I guess, until you start saying something like ""What have you been eating for?"" For some strange",GPT-2,335
As they trembled,"As they trembled as they heard about that, the man was surprised that there was another one; it was him, but he did not dare to talk, even when he wanted to be as friendly to all men, as he was once.",GPT-2,63
The sun peeked,"The sun peeked over the horizon and warmed me up. I left the house and drove around trying to find a good place to dump my truck. When I left the yard I decided to take a few risks and drive on the shoulder, like a",GPT-Neo,572
The garden flourished,"The garden flourished, and the
winter was well spent. The garden was full of flowers, and the
winter was well spent. The garden was full of flowers, and the
winter was well spent. The garden was full",BLOOM,437
In the square,"In the square, the first row is the first row of the square, and the second row is the second row of the square. The first row and the second row are the same as the first and second rows of the square, respectively. The",BLOOM,204
The train rumbled,"The train rumbled and creaked, and the world was still. He watched the shadows on the rails and the lights on the tracks, and listened for the sound of the train. A man had said, ""The train doesn't stop here.""",GPT-Neo,588
He donned the,"He donned the order to the
soldiers to go to the town, and the men were sent to the town, and
they were sent to the town, and they were sent to the town, and they
were sent to the town",BLOOM,111
The door opened,The door opened and I saw a man in a white lab coat. He was holding a small box. I was confused. I looked at the box and saw a small box. I looked at the box and saw a small box. I looked,OPT,404
The stars twinkled,"The stars twinkled in the sky as the sun set over the ocean.
The stars twinkled in the sky as the sun set over the ocean.
The stars twinkled in the sky as the sun set over the ocean",OPT,566
With a frown,"With a frown, he looked at the other soldiers. They were not impressed. They looked too tired and angry.

""Come on,"" he said. ""Let's get out of here.""

He was too tired and angry for this",GPT-Neo,635
The flavors balanced,"The flavors balanced nicely, and they were both delicious. And I got to know the owner and chef of the hotel for a bit. He told me that his wife has been a vegetarian in their lives and that he started out a vegetarian and then a",GPT-Neo,428
With great effort,"With great effort, the company was finally able to determine exactly how to make an effective device with an adjustable design without losing its grip on the traditional design. For example, the company found that in the past it had designed a design with a relatively tight",GPT-Neo,667
With a wink,"With a wink and a nod to the “I’m not a crook” line from Richard Nixon’s 1972 presidential campaign, the Obama campaign has released a new ad that features the president saying, “I’m not",Falcon-7B,662
The candle burned,"The candle burned out.
I'm not sure if you're joking or not, but that's not how candles work.
I'm not joking.  I've seen this happen.  It's not a candle that burned out, it",OPT,346
"Gently, he pushed","Gently, he pushed her away. He was a man of his word, and he was a man who had a good heart. He was a man who had a good heart. He was a man who had a good heart. He was a",BLOOM,89
The sun set,"The sun set in the morning, and the wind was blowing in the
direction of the west. The sun was shining brightly, and the wind was
soft and gentle. The wind was blowing in the direction of the east, and
the",BLOOM,574
With a bow,"With a bow and arrow, the
warrior, who had been in the midst of the battle, was now
reaching the point of the spear, and the arrow was pointing to the
head of the enemy. The spear was",BLOOM,621
The dough rose,The dough rose to the surface and the dough was very soft. The dough was very soft and the dough was very soft and the dough was very soft and the dough was very soft and the dough was very soft and,BLOOM,407
As they talked,"As they talked about the future, they were all talking about the future of the world. They were all talking about the future of the world. They were all talking about the future of the world. They were all talking about the future of the world",BLOOM,60
The circuit connected,"The circuit connected to each pin. This may be a separate circuit, or built into the chip itself, or it may be some type of dedicated component, or both.

How many analog signals or GPIO pins can I have?

For",GPT-Neo,367
"Gently, he pushed","Gently, he pushed her back against the wall.

""I'm not going to hurt you,"" he said. ""I'm just going to ask you a question.""

""What's that?""

""I'm going",OPT,89
As she walked,"As she walked back from the balcony, the woman pulled out a gun and struck Weiss in the heart. The one in the gun had a.22 round hole in it.

""Weiss…?""

""Mm."" Weiss let out",GPT-2,17
The guitar strummed,"The guitar strummed a familiar tune.
“I’m a little teapot, short and stout. Here is my handle, here is my spout. When I get all steamed up, hear me shout!”
The children in the",Falcon-7B,446
As they danced,"As they danced, the two men were joined by a third man, who was also a member of the group.

The man, who was not identified, was seen holding a gun and wearing a black hoodie.

The men",OPT,33
The sun set,"The sun set on the last day of the year, and the last day of the year was the last day of the year.

The sun set on the last day of the year, and the last day of the year was the last",OPT,574
