xi,xj,LLM_model,prompt_id
Walking down the,Walking streets knife kind weapon get lot messages people saying people killed terrorist going get yours said,GPT-2,619
The car honked,car honked woman wheelchair waved waved looking driver side window predicted people living poverty people driving,GPT-Neo,352
The leaves rustled,leaves rustled changed sat talked day sign get residence days thought home memories,GPT-2,470
She turned away,turned window looked do do set mind want turned,Falcon-7B,276
Beneath the trees,trees nature children books autumn sees booksellers staff chef aprons work,GPT-Neo,71
The sweat dripped,sweat dripped forehead looked sun mist water rose saw direction lake stream wondered flowing sea,GPT-2,575
He turned around,turned looked understand turned looked understand turned looked,OPT,139
The bread crackled,bread crackled cheese guess start saying eating,GPT-2,335
As they trembled,trembled heard man was dare talk wanted men,GPT-2,63
The sun peeked,sun peeked horizon warmed left house drove trying find place dump truck left yard decided take risks drive shoulder,GPT-Neo,572
The garden flourished,garden flourished winter spent garden flowers winter spent garden flowers winter spent garden,BLOOM,437
In the square,square row row square row row square row row rows square,BLOOM,204
The train rumbled,train rumbled creaked world watched shadows rails lights tracks listened sound train man said train stop,GPT-Neo,588
He donned the,donned order soldiers go town men sent town sent town sent town sent town,BLOOM,111
The door opened,door opened saw man lab coat holding box looked box saw box looked box saw box looked,OPT,404
The stars twinkled,stars twinkled sky sun set ocean stars twinkled sky sun set ocean stars twinkled sky sun set ocean,OPT,566
With a frown,frown looked soldiers looked Come said Let get,GPT-Neo,635
The flavors balanced,flavors balanced got know owner chef hotel bit told wife vegetarian lives started vegetarian,GPT-Neo,428
With great effort,effort company determine make device design losing grip design example company found past designed design,GPT-Neo,667
With a wink,wink nod ’m crook line campaign campaign released ad features president saying ’m,Falcon-7B,662
The candle burned,candle burned joking candles work joking seen happen candle burned,OPT,346
"Gently, he pushed",pushed man word man had heart man had heart man had heart,BLOOM,89
The sun set,sun set morning wind blowing direction west sun shining wind wind blowing direction east,BLOOM,574
With a bow,bow arrow warrior midst battle reaching point spear arrow pointing head enemy spear,BLOOM,621
The dough rose,dough rose surface dough dough dough dough dough dough,BLOOM,407
As they talked,talked future talking future world talking future world talking future world talking future world,BLOOM,60
The circuit connected,circuit connected pin circuit built chip type component analog signals pins have,GPT-Neo,367
"Gently, he pushed",pushed wall going hurt said going ask question going,OPT,89
As she walked,walked balcony woman pulled gun struck heart one gun had a.22 hole let,GPT-2,17
The guitar strummed,guitar strummed tune ’m teapot handle spout get steamed hear shout children,Falcon-7B,446
As they danced,danced men joined man member group man identified seen holding gun wearing hoodie men,OPT,33
The sun set,sun set day year day year day year sun set day year day year,OPT,574
As they celebrated,celebrated end year team announced discovered type hole hole called,OPT,27
In the park,park park park park park park park park park park park park,OPT,196
Beneath the trees,trees sun shining air breeze birds singing flowers blooming grass sky sun shining,Falcon-7B,71
In the workshop,workshop development project teams funded programme team consortium demonstrated efforts advance science technology factors involved building world,GPT-Neo,212
