xi,xj,LLM_model,prompt_id
Walking down the,streets knife kind weapon get lot messages people saying people killed terrorist going get yours said,GPT-2,619
The car honked,woman wheelchair waved waved looking driver side window predicted people living poverty people driving,GPT-Neo,352
The leaves rustled,changed sat talked day sign get residence days thought home memories,GPT-2,470
She turned away,window looked do do set mind want turned,Falcon-7B,276
Beneath the trees,nature children books autumn sees booksellers staff chef aprons work,GPT-Neo,71
The sweat dripped,forehead looked sun mist water rose saw direction lake stream wondered flowing sea,GPT-2,575
He turned around,looked understand looked understand looked,OPT,139
The bread crackled,cheese guess start saying eating,GPT-2,335
As they trembled,heard man was dare talk wanted men,GPT-2,63
The sun peeked,horizon warmed left house drove trying find place dump truck left yard decided take risks drive shoulder,GPT-Neo,572
The garden flourished,winter spent garden flowers winter spent garden flowers winter spent garden,BLOOM,437
In the square,row row square row row square row row rows square,BLOOM,204
The train rumbled,creaked world watched shadows rails lights tracks listened sound train man said train stop,GPT-Neo,588
He donned the,order soldiers go town men sent town sent town sent town sent town,BLOOM,111
The door opened,saw man lab coat holding box looked box saw box looked box saw box looked,OPT,404
The stars twinkled,sky sun set ocean sky sun set ocean sky sun set ocean,OPT,566
With a frown,looked soldiers looked Come said Let get,GPT-Neo,635
The flavors balanced,got know owner chef hotel bit told wife vegetarian lives started vegetarian,GPT-Neo,428
With great effort,company determine make device design losing grip design example company found past designed design,GPT-Neo,667
With a wink,nod ’m crook line campaign campaign released ad features president saying ’m,Falcon-7B,662
The candle burned,joking candles work joking seen happen candle burned,OPT,346
"Gently, he pushed",man word man had heart man had heart man had heart,BLOOM,89
The sun set,morning wind blowing direction west sun shining wind wind blowing direction east,BLOOM,574
With a bow,warrior midst battle reaching point spear arrow pointing head enemy spear,BLOOM,621
The dough rose,surface dough dough dough dough dough dough,BLOOM,407
As they talked,future talking future world talking future world talking future world talking future world,BLOOM,60
The circuit connected,pin circuit built chip type component analog signals pins have,GPT-Neo,367
"Gently, he pushed",wall going hurt said going ask question going,OPT,89
As she walked,balcony woman pulled gun struck heart one gun had a.22 hole let,GPT-2,17
The guitar strummed,tune ’m teapot handle spout get steamed hear shout children,Falcon-7B,446
As they danced,men joined man member group man identified seen holding gun wearing hoodie men,OPT,33
The sun set,day year day year day year day year day year,OPT,574
As they celebrated,end year team announced discovered type hole hole called,OPT,27
In the park,park park park park park park park park park park park,OPT,196
Beneath the trees,sun shining air breeze birds singing flowers blooming grass sky sun shining,Falcon-7B,71
In the workshop,development project teams funded programme team consortium demonstrated efforts advance science technology factors involved building world,GPT-Neo,212
The plants thrived,greenhouse seeds planted garden greenhouse seeds planted garden greenhouse seeds planted,Falcon-7B,519
In the shadows,is brother sister alcoholic teacher woman bodyguard place starts drinking move,GPT-2,201
The wind whispered,trees whistled branches summer leaves trembled sails unfurling wind day grandmother taken promised come,GPT-Neo,611
The pencil scratched,paper think paper scratched pencil,OPT,513
The bags filled,food placed refrigerator days bags opened contents examined presence food contaminants bags placed refrigerator days,BLOOM,318
In the studio,band band studio recording album band studio recording album band studio recording album band studio recording,Falcon-7B,207
The balloon floated,city balloon released organisation promotes understanding balloon released,Falcon-7B,319
The fire flickered,distance light fire shining distance fire burning distance light fire shining distance fire burning,BLOOM,422
With a heavy,heart have confession make ’m position want serve follower,GPT-Neo,641
In the silence,night hear sound voice feel warmth touch see light eyes smell fragrance breath taste sweetness,Falcon-7B,203
The grass swayed,began twitching grass soil falling village erupted roar hour village finished grass gone crowd dispersed,GPT-2,444
With a splash,paint skin model look leather jacket paint concerned looks touch pink waist model priced,GPT-2,654
The fog rolled,rain started fall rain see wind blowing breathe rain,OPT,435
With a laugh,said know n’t know said know know do,BLOOM,642
In the theater,sitting guy talking girlfriend talking going go movies going buy gift said,OPT,210
The car started,move driver trying get way driver car struck killed pedestrian city end morning trying get,OPT,354
The book shut,internet joking joking internet,OPT,333
She sat down,breakfast table bowl looked blackberry look sipped coffee feel ice cream scoop,GPT-Neo,263
The ocean roared,sun ocean filled rays shone fog become middle ocean need go have,GPT-2,503
He sculpted the,character signature Know terms visuals graphics changes use color outset,GPT-2,129
As they performed,duties men followed drill instructor had know follow code conduct order given men drilled had pass order seen drill practice,GPT-Neo,49
As they watched,hear face crinkles excitement hear looked look shock begun appear face was getting know,GPT-2,66
The moon rose,stars shining sun shining stars shining moon shining stars shining moon shining stars shining moon shining stars shining,BLOOM,490
"Slowly, she walked",room girl gone,BLOOM,300
In the server,user select type file uploaded user select file size user select file type user select file size user select,BLOOM,200
In the bedroom,bed bit have room living room sleep bed have bedroom living room sleep bed,BLOOM,153
